PUB_FORM_PROPERTY
pk_form_property,label
1001AA1LCP00000ITGD4,是否生效
1001AA1LCP00000ITGD5,修改者
1001AA1LCP00000ITGD6,修改时间
1001AA1LCP00000ITGD7,创建者
1001AA1LCP00000ITGD8,创建时间
1001AA1LCP00000ITGD9,自定义项1
1001AA1LCP00000ITGDA,自定义项2
1001AA1LCP00000ITGDB,自定义项3
1001AA1LCP00000ITGDC,自定义项4
1001AA1LCP00000ITGDD,自定义项5
1001AA1LCP00000ITGDE,自定义项6
1001AA1LCP00000ITGDF,自定义项7
1001AA1LCP00000ITGDG,自定义项8
1001AA1LCP00000ITGDH,自定义项9
1001AA1LCP00000ITGDI,自定义项10
1001AA1LCP00000ITGDJ,自定义项11
1001AA1LCP00000ITGDK,自定义项12
1001AA1LCP00000ITGDL,自定义项13
1001AA1LCP00000ITGDM,自定义项14
1001AA1LCP00000ITGDN,自定义项15
1001AA1LCP00000ITGDO,自定义项16
1001AA1LCP00000ITGDP,自定义项17
1001AA1LCP00000ITGDQ,自定义项18
1001AA1LCP00000ITGDR,自定义项19
1001AA1LCP00000ITGDS,自定义项20
1001AA1LCP00000ITGDT,加价
1001AA1LCP00000ITGDU,指标
1001AA1LCP00000ITGDV,类型
1001AA1LCP00000ITGDW,区间1始
1001AA1LCP00000ITGDX,区间1止
1001AA1LCP00000ITGDY,区间1价格
1001AA1LCP00000ITGDZ,区间2始
1001AA1LCP00000ITGE0,区间2止
1001AA1LCP00000ITGE1,区间2价格
1001AA1LCP00000ITGE2,区间3始
1001AA1LCP00000ITGE3,区间3止
1001AA1LCP00000ITGE4,区间3价格
1001AA1LCP00000ITGE5,是否生效
1001AA1LCP00000ITGE6,修改者
1001AA1LCP00000ITGE7,修改时间
1001AA1LCP00000ITGE8,创建者
1001AA1LCP00000ITGE9,创建时间
1001AA1LCP00000ITGEA,自定义项1
1001AA1LCP00000ITGEB,自定义项2
1001AA1LCP00000ITGEC,自定义项3
1001AA1LCP00000ITGED,自定义项4
1001AA1LCP00000ITGEE,自定义项5
